epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,185.716,1.7851,3.2697,2.84226,1.60434,0.28946,0.11333,0.1621,0.09448,0.73211,0.08,0.11504,0.03133,1.51957,3.88341,3.40247,1.77202,0.00035007,0.00035007,0.00035007
2,366.105,1.43987,2.33751,1.89417,1.3533,0.92015,0.07029,0.29547,0.09785,0.80038,0.05029,0.13407,0.03159,1.77958,3.54587,3.29631,1.88538,0.000702617,0.000702617,0.000702617
3,547.587,1.50109,2.26438,1.83243,1.37696,0.82655,0.16,0.2774,0.11432,0.72631,0.14,0.1822,0.05157,1.90304,3.31174,2.95757,1.95524,0.00104064,0.00104064,0.00104064
4,705.683,1.47239,2.22887,1.6931,1.36675,0.40643,0.61056,0.50329,0.19023,0.30698,0.27143,0.26081,0.07741,1.66885,4.07269,2.94449,1.84538,0.00136414,0.00136414,0.00136414
5,855.816,1.51084,2.25823,1.68745,1.39104,0.54098,0.43881,0.47919,0.23098,0.42083,0.48119,0.42362,0.17456,1.8598,3.40523,2.22625,1.76743,0.00153497,0.00153497,0.00153497
6,1006.23,1.44684,2.19002,1.55783,1.37306,0.61113,0.5319,0.55813,0.30387,0.58685,0.4719,0.53521,0.24814,1.46225,2.3417,1.88874,1.58119,0.00150197,0.00150197,0.00150197
7,1156.72,1.4481,2.13148,1.58324,1.37795,0.4964,0.59214,0.59078,0.32487,0.47693,0.55881,0.5562,0.25205,1.47583,2.35984,1.93518,1.51491,0.00146896,0.00146896,0.00146896
8,1306.57,1.38983,2.09519,1.42924,1.31118,0.5601,0.5011,0.58402,0.32865,0.5423,0.47483,0.54099,0.23842,1.44494,2.53541,2.43274,1.51077,0.00143595,0.00143595,0.00143595
9,1456.48,1.34609,1.98084,1.36204,1.27792,0.71928,0.57481,0.68972,0.3511,0.67347,0.52019,0.61374,0.21263,1.46163,2.10596,1.65778,1.48201,0.00140295,0.00140295,0.00140295
10,1605.89,1.33757,1.9827,1.32501,1.29338,0.76248,0.755,0.80977,0.47787,0.7266,0.715,0.74225,0.36166,1.28912,2.01645,1.3489,1.38362,0.00136994,0.00136994,0.00136994
11,1755.9,1.2868,1.9274,1.28427,1.26262,0.7591,0.73048,0.79555,0.48765,0.69909,0.68595,0.71048,0.3661,1.29719,1.80993,1.32982,1.44163,0.00133693,0.00133693,0.00133693
12,1905.56,1.30632,1.97836,1.30269,1.29235,0.77065,0.6681,0.76087,0.43582,0.74697,0.55543,0.67096,0.30014,1.24234,1.96819,1.25985,1.35608,0.00130393,0.00130393,0.00130393
13,2056.35,1.26387,1.93802,1.25656,1.23035,0.70925,0.77555,0.80911,0.47716,0.64808,0.72619,0.72981,0.36975,1.27421,1.86768,1.19919,1.3317,0.00127092,0.00127092,0.00127092
14,2207.38,1.26975,1.96951,1.22822,1.24634,0.64868,0.67143,0.78093,0.45723,0.63292,0.63589,0.72773,0.35844,1.30501,1.84974,1.28299,1.38065,0.00123791,0.00123791,0.00123791
15,2357.33,1.24075,1.87491,1.16149,1.23331,0.83408,0.59939,0.79274,0.47473,0.79621,0.5657,0.73086,0.33023,1.29672,1.91426,1.22861,1.33883,0.00120491,0.00120491,0.00120491
16,2507.05,1.24483,1.92073,1.14641,1.22067,0.71819,0.76908,0.79606,0.46028,0.65874,0.70455,0.72202,0.37071,1.24467,1.9464,1.06793,1.30385,0.0011719,0.0011719,0.0011719
17,2657.36,1.22806,1.845,1.09793,1.22725,0.82433,0.79952,0.86055,0.47638,0.76589,0.735,0.76987,0.37785,1.2845,1.84248,1.06851,1.32306,0.00113889,0.00113889,0.00113889
18,2806.68,1.22647,1.87084,1.14011,1.22488,0.75494,0.64116,0.76616,0.46292,0.73351,0.61403,0.70075,0.35075,1.20793,1.96294,1.16285,1.30161,0.00110589,0.00110589,0.00110589
19,2955.87,1.18663,1.8009,1.07353,1.22013,0.87241,0.73048,0.81685,0.50354,0.79839,0.68345,0.7377,0.39369,1.15749,1.75109,0.99267,1.24535,0.00107288,0.00107288,0.00107288
20,3105.71,1.16632,1.82828,1.05076,1.17843,0.7807,0.80856,0.8362,0.51089,0.7481,0.72308,0.77158,0.39423,1.16578,1.7955,1.0478,1.26709,0.00103987,0.00103987,0.00103987
21,3256.12,1.14933,1.81853,1.02154,1.1827,0.75137,0.70945,0.80997,0.49667,0.7673,0.67238,0.74712,0.39157,1.13407,1.70371,1.08407,1.26058,0.00100687,0.00100687,0.00100687
22,3405.46,1.16428,1.74953,1.00729,1.17993,0.81992,0.75714,0.86387,0.52507,0.79919,0.72682,0.80678,0.3916,1.12367,1.76441,0.91214,1.25866,0.000973861,0.000973861,0.000973861
23,3555.71,1.13122,1.71214,0.97582,1.17385,0.76766,0.80091,0.85728,0.53914,0.73854,0.78619,0.82121,0.42114,1.14593,1.81512,0.89423,1.27825,0.000940855,0.000940855,0.000940855
24,3704.96,1.14346,1.76349,0.99089,1.16885,0.85669,0.76484,0.85057,0.52972,0.82105,0.72714,0.7978,0.42673,1.17955,1.77623,0.9337,1.26924,0.000907848,0.000907848,0.000907848
25,3854.7,1.13777,1.76959,0.94798,1.16991,0.74161,0.79701,0.84242,0.52815,0.71133,0.76367,0.79392,0.41655,1.18263,1.82071,0.95648,1.27386,0.000874842,0.000874842,0.000874842
26,4004.35,1.08551,1.72326,0.90987,1.15311,0.79241,0.75714,0.84186,0.53864,0.76965,0.73044,0.80471,0.41783,1.13385,1.75294,0.92858,1.25231,0.000841835,0.000841835,0.000841835
27,4153.52,1.08671,1.69812,0.90501,1.14335,0.70936,0.70571,0.82721,0.51132,0.6599,0.65452,0.75082,0.38581,1.12424,1.83182,1.00808,1.27533,0.000808828,0.000808828,0.000808828
28,4303.74,1.08055,1.60263,0.88775,1.13766,0.71378,0.82821,0.83767,0.52089,0.69045,0.81407,0.793,0.42737,1.14482,1.63834,0.98998,1.23491,0.000775822,0.000775822,0.000775822
29,4452.42,1.08883,1.66186,0.91066,1.14305,0.79177,0.79979,0.84605,0.50231,0.78545,0.77588,0.80328,0.4127,1.15144,1.72025,0.90894,1.24173,0.000742815,0.000742815,0.000742815
30,4601.63,1.04006,1.66004,0.85295,1.13189,0.89242,0.7508,0.8843,0.59105,0.81267,0.74833,0.83997,0.46974,1.03023,1.70463,0.83656,1.18862,0.000709809,0.000709809,0.000709809
31,4750.43,1.03719,1.65875,0.84934,1.13623,0.89974,0.74438,0.87332,0.56135,0.86048,0.71299,0.82532,0.45167,1.06883,1.68635,0.88,1.2078,0.000676802,0.000676802,0.000676802
32,4899.71,1.05111,1.60374,0.82679,1.11079,0.8102,0.75929,0.86116,0.59781,0.74662,0.71476,0.79667,0.44858,0.96835,1.70009,0.88509,1.19894,0.000643795,0.000643795,0.000643795
33,5048.63,1.00645,1.58805,0.81885,1.09907,0.82856,0.73714,0.87081,0.5825,0.8079,0.69262,0.80842,0.44254,1.02515,1.62179,0.77958,1.20918,0.000610789,0.000610789,0.000610789
34,5197.77,1.02293,1.62022,0.82475,1.12018,0.90289,0.76233,0.88238,0.56307,0.86624,0.72969,0.83519,0.45639,1.07567,1.69482,0.77029,1.25268,0.000577782,0.000577782,0.000577782
35,5347.08,0.98799,1.54111,0.7628,1.08638,0.83372,0.73476,0.83652,0.5455,0.81094,0.7133,0.80542,0.41974,1.13958,1.80056,0.85583,1.27637,0.000544776,0.000544776,0.000544776
36,5496.58,1.00995,1.57999,0.79332,1.10601,0.82447,0.77714,0.86965,0.55721,0.83761,0.69476,0.82627,0.43862,1.10851,1.71117,0.82646,1.2363,0.000511769,0.000511769,0.000511769
37,5645.7,1.00481,1.55351,0.78975,1.09934,0.75752,0.78167,0.87268,0.5526,0.85868,0.67931,0.83183,0.43079,1.12172,1.68501,0.80916,1.2566,0.000478762,0.000478762,0.000478762
38,5795.98,0.99386,1.55652,0.77156,1.08965,0.86135,0.73929,0.87611,0.57735,0.83873,0.74381,0.83644,0.46273,1.0746,1.65857,0.74931,1.21928,0.000445756,0.000445756,0.000445756
39,5945.9,0.96368,1.52606,0.76119,1.08793,0.81057,0.77779,0.87548,0.57898,0.80261,0.76898,0.84035,0.44781,1.01571,1.69506,0.76553,1.18676,0.000412749,0.000412749,0.000412749
40,6096.04,0.93675,1.50533,0.71926,1.07308,0.83485,0.77048,0.87185,0.59618,0.83325,0.76833,0.84632,0.46299,1.01324,1.69318,0.7546,1.16878,0.000379743,0.000379743,0.000379743
41,6242.32,0.91319,1.39798,0.73085,1.07368,0.83578,0.79031,0.88068,0.60311,0.83163,0.78224,0.8459,0.46344,1.01248,1.75745,0.73077,1.16105,0.000346736,0.000346736,0.000346736
42,6388.45,0.91028,1.37529,0.70953,1.06763,0.74115,0.83355,0.88296,0.59689,0.71203,0.80065,0.84018,0.46001,1.03937,1.69114,0.7067,1.17307,0.000313729,0.000313729,0.000313729
43,6533.09,0.84947,1.34622,0.661,1.04219,0.82358,0.76515,0.88747,0.61178,0.80314,0.71262,0.83836,0.47899,1.04236,1.67696,0.73571,1.21422,0.000280723,0.000280723,0.000280723
44,6678.21,0.84216,1.29159,0.63892,1.03537,0.92664,0.69476,0.89461,0.60736,0.90928,0.68143,0.85203,0.4715,1.02135,1.69365,0.71577,1.1817,0.000247716,0.000247716,0.000247716
45,6823.64,0.83588,1.32152,0.6373,1.02291,0.91153,0.73714,0.89767,0.61953,0.89761,0.72381,0.85757,0.48195,0.96804,1.66271,0.70114,1.15433,0.00021471,0.00021471,0.00021471
46,6968.77,0.8275,1.30902,0.62655,1.02911,0.86409,0.76257,0.88427,0.58195,0.85124,0.74782,0.84392,0.47317,1.02006,1.73268,0.71033,1.19237,0.000181703,0.000181703,0.000181703
47,7114.02,0.83223,1.3216,0.62821,1.03148,0.89089,0.76871,0.88385,0.59671,0.86176,0.74214,0.85131,0.47391,0.99799,1.68264,0.66987,1.18972,0.000148696,0.000148696,0.000148696
48,7258.06,0.81503,1.28129,0.61757,1.01137,0.89903,0.73262,0.88804,0.60934,0.84341,0.72578,0.84252,0.4885,0.986,1.68454,0.67779,1.1768,0.00011569,0.00011569,0.00011569
49,7401.77,0.80431,1.28642,0.60244,1.01894,0.91113,0.73262,0.89306,0.61623,0.83358,0.7412,0.85063,0.48286,0.97037,1.6864,0.68071,1.16075,8.26832e-05,8.26832e-05,8.26832e-05
50,7545.76,0.77776,1.25454,0.5911,0.98335,0.88573,0.73262,0.89357,0.6251,0.85062,0.69929,0.84442,0.48664,0.97475,1.69148,0.67957,1.17041,4.96766e-05,4.96766e-05,4.96766e-05
